name,group
Бэкенд разработчик (Backend Developer),1. Разработка и программирование
Вебразработчик (Web Developer),1. Разработка и программирование
Инженер искусственного интеллекта и машинного обучения (AI/ML Engineer),1. Разработка и программирование
Мобильный разработчик (Mobile App Developer),1. Разработка и программирование
Разработчик игр (Game Developer),1. Разработка и программирование
Системный администратор (System Administrator),1. Разработка и программирование
Тестировщик (QA Engineer),1. Разработка и программирование
Фронтэнд разработчик (Frontend Developer),1. Разработка и программирование
BI аналитик (Business Intelligence Analyst),2. Аналитика и данные
Аналитик данных (Data Analyst),2. Аналитика и данные
Аналитик ПО (Software Analyst),2. Аналитика и данные
Бизнес исследователь,2. Аналитика и данные
Маркетинговый аналитик (Marketing Analyst),2. Аналитика и данные
Системный аналитик (System Analyst),2. Аналитика и данные
Специалист по Big Data (Big Data Specialist),2. Аналитика и данные
Специалист по веб аналитике (Web Analyst),2. Аналитика и данные
PPC специалист (PPC Specialist),3. Маркетинг и продвижение
SEO специалист (SEO Specialist),3. Маркетинг и продвижение
SMM специалист (Social Media Manager),3. Маркетинг и продвижение
Диджитал маркетолог (Digital Marketer),3. Маркетинг и продвижение
Контент маркетолог (Content Marketer),3. Маркетинг и продвижение
Маркетолог (Marketer),3. Маркетинг и продвижение
3D дизайнер (3D Designer),4. Дизайн и креатив
UX/UI дизайнер (UX/UI Designer),4. Дизайн и креатив
Веб дизайнер (Web Designer),4. Дизайн и креатив
Графический дизайнер (Graphic Designer),4. Дизайн и креатив
Моушн дизайнер (Motion Designer),4. Дизайн и креатив
Видеограф (Videographer),5. Контент и соц.сети
Контент менеджер (Content Manager),5. Контент и соц.сети
Копирайтер (Copywriter),5. Контент и соц.сети
Подкаст продюсер (Podcast Producer),5. Контент и соц.сети
Редактор (Editor),5. Контент и соц.сети
PR специалист,6. Коммуникации и медиа
Блогер,6. Коммуникации и медиа
Видео монтажер,6. Коммуникации и медиа
Видео оператор,6. Коммуникации и медиа
Журналист,6. Коммуникации и медиа
Копирайтер,6. Коммуникации и медиа
Маркетолог,6. Коммуникации и медиа
Продюссер,6. Коммуникации и медиа
Редактор,6. Коммуникации и медиа
Спичрайтер,6. Коммуникации и медиа
Телеведущий,6. Коммуникации и медиа
Фотограф,6. Коммуникации и медиа
Аниматор,7. Мероприятия
Ведущий мероприятий,7. Мероприятия
Ивент менеджер/ Организатор мероприятий (Event manager),7. Мероприятия
Модератор,7. Мероприятия
Продюсер мероприятий (Event Producer),7. Мероприятия
Фасилитатор,7. Мероприятия
Agile коуч (Agile Coach),8. Управление проектами и продуктами
Online Reputation Management,8. Управление проектами и продуктами
Scrum мастер (Scrum Master),8. Управление проектами и продуктами
Координатор проектов (Project Coordinator),8. Управление проектами и продуктами
Продуктовый менеджер (Product Manager),8. Управление проектами и продуктами
Проектный менеджер (Project Manager),8. Управление проектами и продуктами
Администратор безопасности (Security Administrator),9. Безопасность и сети
Аналитик по информационной безопасности (Information Security Analyst),9. Безопасность и сети
Сетевой инженер (Network Engineer),9. Безопасность и сети
Специалист по кибербезопасности (Cybersecurity Specialist),9. Безопасность и сети
CRM специалист (CRM Specialist),10. Электронная коммерция (eCommerce)
Аналитик по eCommerce (eCommerce Analyst),10. Электронная коммерция (eCommerce)
Менеджер интернет магазина (eCommerce Manager),10. Электронная коммерция (eCommerce)
Специалист по UX в eCommerce (eCommerce UX Specialist),10. Электронная коммерция (eCommerce)
Специалист по продажам в eCommerce (eCommerce Sales Specialist),10. Электронная коммерция (eCommerce)
Ветеринар,11. Медицина и здравоохранение
Врач,11. Медицина и здравоохранение
Диетолог,11. Медицина и здравоохранение
Лаборант,11. Медицина и здравоохранение
Медсестра,11. Медицина и здравоохранение
Оптик,11. Медицина и здравоохранение
Психолог,11. Медицина и здравоохранение
Стоматолог,11. Медицина и здравоохранение
Фармацевт,11. Медицина и здравоохранение
Хирург,11. Медицина и здравоохранение
BIM менеджер (BIM manager),12. Инженерия
Авиастроитель,12. Инженерия
Автомеханик,12. Инженерия
Инженер,12. Инженерия
Инженер механик,12. Инженерия
Инженер по робототехнике,12. Инженерия
Инженер строитель,12. Инженерия
Пожарный инженер,12. Инженерия
Электроинженер,12. Инженерия
Астроном,13. Наука и исследования
Биолог,13. Наука и исследования
Генетик,13. Наука и исследования
Геолог,13. Наука и исследования
Математик,13. Наука и исследования
Социолог,13. Наука и исследования
Физик,13. Наука и исследования
Химик,13. Наука и исследования
Эколог,13. Наука и исследования
Воспитатель детского сада,14. Образование
Логопед,14. Образование
Методист,14. Образование
Преподаватель ВУЗа,14. Образование
Репетитор,14. Образование
Социальный педагог,14. Образование
Учитель,14. Образование
Актер,15. Искусство и культура
Архитектор,15. Искусство и культура
Дизайнер интерьера,15. Искусство и культура
Композитор,15. Искусство и культура
Музыкант,15. Искусство и культура
Писатель,15. Искусство и культура
Поэт,15. Искусство и культура
Режиссер,15. Искусство и культура
Скульптор,15. Искусство и культура
Фотограф,15. Искусство и культура
Художник,15. Искусство и культура
Аудитор,16. Финансы и экономика
Банкир,16. Финансы и экономика
Бухгалтер,16. Финансы и экономика
Инвестиционный консультант,16. Финансы и экономика
Кредитный аналитик,16. Финансы и экономика
Страховой агент,16. Финансы и экономика
Финансовый аналитик,16. Финансы и экономика
Экономист,16. Финансы и экономика
Адвокат,17. Право
Нотариус,17. Право
Правозащитник,17. Право
Прокурор,17. Право
Следователь,17. Право
Судья,17. Право
Уголовный детектив,17. Право
Юрисконсульт,17. Право
Агроном,18. Сельское хозяйство
Ветеринар,18. Сельское хозяйство
Винодел,18. Сельское хозяйство
Зоотехник,18. Сельское хозяйство
Лесничий,18. Сельское хозяйство
Пчеловод,18. Сельское хозяйство
Рыбовод,18. Сельское хозяйство
Садовод,18. Сельское хозяйство
Косметолог,19. Торговля и услуги
Менеджер по продажам (Sales manager),19. Торговля и услуги
Официант (Waiter),19. Торговля и услуги
Парикмахер (Hairdresser),19. Торговля и услуги
Продавец-консультант,19. Торговля и услуги
Риелтор,19. Торговля и услуги
Товаровед,19. Торговля и услуги
Туристический агент,19. Торговля и услуги
Флорист (Florist),19. Торговля и услуги
Водитель,20. Транспорт и логистика
Диспетчер,20. Транспорт и логистика
Капитан судна,20. Транспорт и логистика
Курьер,20. Транспорт и логистика
Логист,20. Транспорт и логистика
Машинист,20. Транспорт и логистика
Пилот,20. Транспорт и логистика
Экспедитор,20. Транспорт и логистика
Гончар,21. Производство и ремесла
Кузнец,21. Производство и ремесла
Механик,21. Производство и ремесла
Плотник,21. Производство и ремесла
Сварщик,21. Производство и ремесла
Слесарь,21. Производство и ремесла
Столяр,21. Производство и ремесла
Швея,21. Производство и ремесла
Электрик,21. Производство и ремесла
Инспектор ГИБДД,22. Охрана и безопасность
Охранник,22. Охрана и безопасность
Пожарный,22. Охрана и безопасность
Полицейский,22. Охрана и безопасность
Сотрудник частной охранной фирмы,22. Охрана и безопасность
Сотрудник экономической безопасности,22. Охрана и безопасность
Спасатель,22. Охрана и безопасность
Тюремный надзиратель,22. Охрана и безопасность
HR специалист,23. Администрация и управление
Администратор,23. Администрация и управление
Координатор,23. Администрация и управление
Личный ассистент,23. Администрация и управление
Менеджер по качеству,23. Администрация и управление
Менеджер по управлению закупками,23. Администрация и управление
Офис менеджер,23. Администрация и управление
Рекрутер,23. Администрация и управление
Руководитель проекта,23. Администрация и управление
Секретарь,23. Администрация и управление
Специалист по документообороту,23. Администрация и управление
Управляющий,23. Администрация и управление
Бизнес-трекер,24. Вспомогательные
Консультант,24. Вспомогательные
Коуч,24. Вспомогательные
Ментор,24. Вспомогательные
Психолог,24. Вспомогательные